GroupID	x	y	z	group_mHI	group_R200	mass_select	radius_select
1136	178178.23	30676.45	152141.7	20639113000.0	405.09763	1	0
1373	140375.97	63273.47	73087.42	12814309000.0	419.40134	1	0
1478	506.45398	102869.63	200984.38	24239411000.0	358.46307	1	0
1559	8271.664	122190.27	187494.72	20418413000.0	373.5887	1	0
1572	52785.48	87876.96	121092.44	24413070000.0	392.1578	1	0
1595	181932.98	78245.15	13410.287	32998310000.0	380.54813	1	0
1627	17352.053	199192.34	56632.37	21132614000.0	387.26666	1	0
1721	101973.35	152349.69	122851.336	24887857000.0	344.0533	1	0
1728	129712.57	49597.04	25141.934	15541741000.0	399.1963	1	0
1738	197673.0	16994.252	66210.58	22676863000.0	392.45416	1	0
1769	161974.95	171945.31	34768.29	25882597000.0	369.7457	1	0
1809	183279.4	116626.99	188160.58	31790606000.0	376.35574	1	0
1978	196864.5	58305.777	106491.62	33986484000.0	386.76752	1	0
2004	123424.76	33486.664	128531.94	23382966000.0	375.6001	1	0
2637	142706.23	21584.79	122908.445	25020900000.0	345.87802	1	0
2840	74429.87	145734.9	107033.484	28270889000.0	300.34128	1	0
2971	139560.52	42526.96	116413.01	11981242000.0	291.7172	1	0
3050	134103.9	20243.395	141133.14	23164113000.0	268.27094	1	0
3401	61841.598	22894.365	22545.867	14128609000.0	279.22964	1	0
3651	128678.46	42615.348	40365.883	10387235000.0	334.74295	1	0
3674	34875.32	88915.49	147581.22	8407107000.0	331.18985	1	0
3759	6074.223	2395.2673	154293.05	27505486000.0	264.13443	1	0
3858	74773.08	45939.37	157791.97	12607862000.0	316.51242	1	0
4284	182860.06	104966.92	196907.45	6459965400.0	320.44635	1	0
4449	182832.34	139425.61	195939.0	7890735600.0	311.2655	1	0
4476	63240.76	15299.94	106690.32	17423200000.0	268.84235	1	0
5168	10108.805	175510.69	117993.9	19433669000.0	308.95505	1	0
5953	14716.922	16030.0205	128009.51	10981232000.0	268.46896	1	0
6677	140589.88	165944.38	175589.02	14888545000.0	209.2748	1	0
7092	145583.53	136510.89	75752.04	12447114000.0	267.97925	1	0
9315	87798.664	200622.02	45793.344	18841407000.0	267.8495	1	0
11257	152716.77	159169.73	165247.69	7874409500.0	252.0541	1	0
11864	36176.582	98490.48	46497.45	3507216000.0	201.47313	1	0
12091	178224.5	119230.516	712.6444	19932662000.0	212.92368	1	0
16107	117659.35	34615.367	167921.8	11255417000.0	236.45483	1	0
23763	143851.34	47820.406	61942.926	10460709000.0	195.49567	1	0
