GroupID	iscen	GroupPos	GroupM200
193.0	1.0	[114445.375 146718.     74032.305]	156103640000000.0
595.0	1.0	[ 60707.77   91370.836 103413.64 ]	182627710000000.0
143.0	1.0	[198457.62  50785.94  47970.56]	107746024000000.0
217.0	1.0	[ 98971.28 156109.48 154615.47]	136576880000000.0
265.0	1.0	[157946.12  148230.06    4160.898]	144609840000000.0
832.0	1.0	[ 52979.023  88714.81  123122.44 ]	118919150000000.0
236.0	1.0	[ 79651.516 192897.62  122469.56 ]	164069610000000.0
67.0	1.0	[ 59487.605 127484.34   69868.305]	142160530000000.0
157.0	1.0	[ 47512.1  110364.03 186031.77]	106295365000000.0
112.0	1.0	[149252.1   133584.55   60606.824]	156477500000000.0
119.0	1.0	[199914.02  106995.4    30352.389]	129208070000000.0
200.0	1.0	[100284.75  81022.9   60226.24]	118452360000000.0
204.0	1.0	[129536.48  106157.984  83455.5  ]	148659870000000.0
1281.0	0.0	[134163.86   23322.598 142150.16 ]	138183510000000.0
111.0	1.0	[  8388.756 172852.64   82575.7  ]	138800210000000.0
472.0	1.0	[ 21095.434  10168.019 201737.72 ]	133830540000000.0
266.0	1.0	[56848.31  88628.48  12950.924]	122852950000000.0
186.0	1.0	[163979.19   50922.098 160294.47 ]	117471510000000.0
156.0	1.0	[149194.12   66312.086  78807.484]	151025660000000.0
969.0	1.0	[ 12995.436  92173.625 195165.95 ]	158652520000000.0
1653.0	1.0	[118578.74   34707.984 168230.84 ]	165268920000000.0
477.0	1.0	[ 37479.758  85887.67  158530.3  ]	106813580000000.0
137.0	1.0	[ 94712.46  144526.81   38267.477]	115317150000000.0
514.0	1.0	[  8360.216 120003.15  189510.94 ]	136998895000000.0
586.0	1.0	[ 49430.53  88103.96 202506.36]	129193660000000.0
203.0	1.0	[164732.97   97140.09   37286.105]	129321415000000.0
920.0	1.0	[ 71783.28  82544.89 120500.09]	116116790000000.0
158.0	1.0	[ 44869.035 182851.73   66354.19 ]	138947200000000.0
559.0	1.0	[  4184.8555 106831.62    21338.264 ]	116181470000000.0
1618.0	1.0	[197107.05   57956.285 106606.625]	127733066000000.0
272.0	1.0	[119055.664  93914.125  90504.99 ]	144810090000000.0
372.0	0.0	[172014.73   53328.758  62360.35 ]	121661836000000.0
210.0	1.0	[163487.5    36914.598 188704.64 ]	128017600000000.0
133.0	1.0	[186869.38  71681.68 173237.6 ]	122974580000000.0
401.0	1.0	[30627.104 92994.484 10469.025]	126042230000000.0
184.0	1.0	[43365.59  21427.94  51585.266]	131011845000000.0
329.0	1.0	[102561.32  120352.65   85221.766]	122311780000000.0
254.0	1.0	[ 71691.27  97775.95 157408.38]	128242100000000.0
233.0	1.0	[1.9411365e+02 1.9783503e+05 2.0140311e+05]	114129840000000.0
280.0	1.0	[72103.73 50964.17 43804.12]	121109320000000.0
300.0	0.0	[145894.66   61695.496 159589.05 ]	104807805000000.0
308.0	1.0	[158064.89  129175.28   13705.837]	144828500000000.0
948.0	1.0	[162453.61  171955.73   37078.785]	134836360000000.0
199.0	1.0	[113170.82  25221.18 124587.57]	121593210000000.0
86.0	1.0	[ 35133.816 172701.16   38535.062]	138538990000000.0
625.0	0.0	[148100.78 194907.14 145380.23]	146538930000000.0
322.0	0.0	[ 15244.175  13957.558 127704.74 ]	160051120000000.0
587.0	1.0	[129288.24 174632.73  73256.63]	124389475000000.0
403.0	0.0	[11534.47  51649.773 81545.24 ]	111531140000000.0
108.0	1.0	[ 53755.066  51414.71  151560.33 ]	113186666000000.0
153.0	1.0	[ 46386.992  76589.33  151339.22 ]	116610620000000.0
302.0	1.0	[48712.344 80770.055 36196.73 ]	109316430000000.0
			117173380000000.0
682.0	1.0	[120393.37   31789.965  20658.508]	124116800000000.0
525.0	1.0	[ 11347.831 175615.66  116568.35 ]	116268910000000.0
147.0	0.0	[ 69918.01   9404.86 188289.97]	131623660000000.0
175.0	1.0	[58968.234 29579.34  45373.46 ]	105788100000000.0
221.0	1.0	[133393.17   78355.75   12969.181]	113038210000000.0
231.0	1.0	[115977.266 192802.52  130955.17 ]	119521040000000.0
251.0	1.0	[184420.05   30142.158 190159.81 ]	118042590000000.0
334.0	1.0	[150416.31   72840.914 133656.12 ]	123567070000000.0
339.0	1.0	[100472.34   88408.8    64967.023]	110979650000000.0
116.0	1.0	[122264.875  81882.61  176490.5  ]	107881320000000.0
285.0	1.0	[177482.53   30503.611 152696.4  ]	125519060000000.0
743.0	1.0	[   353.50583 103672.39    199211.17   ]	121995635000000.0
171.0	1.0	[ 15756.895   6140.134 155401.23 ]	114313600000000.0
295.0	1.0	[117099.016 133628.56  177000.14 ]	112847260000000.0
307.0	1.0	[180551.97  117887.375 204831.34 ]	103206850000000.0
170.0	1.0	[136418.56 160359.06 185883.64]	116867450000000.0
387.0	1.0	[ 18877.895 112882.836 137419.73 ]	103605214000000.0
273.0	1.0	[181556.7   132883.69   52709.074]	116946104000000.0
1197.0	1.0	[183926.31 114113.92 188871.08]	101806865000000.0
689.0	1.0	[ 88085.25  201644.83   46491.516]	101358330000000.0
974.0	1.0	[142684.27   23576.115 122945.19 ]	111056974000000.0
12678.0	1.0	[38307.793 97784.84  46950.297]	126265110000000.0
479.0	1.0	[ 83857.695 120107.4    80000.805]	104744820000000.0
418.0	1.0	[45637.684 97292.19  35947.61 ]	100861290000000.0
446.0	0.0	[139227.55   39985.824 115796.664]	106887040000000.0
121.0	1.0	[ 72318.586 177520.6    51954.566]	111711850000000.0
509.0	1.0	[165741.73   24958.982  39699.133]	120271570000000.0
490.0	1.0	[ 34636.95  88211.55 147591.03]	118847880000000.0
455.0	1.0	[179263.62  105434.766 201613.95 ]	102168360000000.0
439.0	1.0	[100250.336 151936.7   123682.586]	109812230000000.0
1218.0	1.0	[140366.2   62646.77  71916.27]	131206410000000.0
345.0	1.0	[ 72899.664 200705.02   77481.64 ]	113904630000000.0
303.0	1.0	[ 22579.936 171912.89  120540.12 ]	106871900000000.0
145.0	1.0	[51977.117 61917.21  14467.564]	100814080000000.0
348.0	1.0	[56902.156 11876.184 70609.9  ]	115491000000000.0
163.0	1.0	[ 52076.312  52352.043 204044.27 ]	100322040000000.0
351.0	1.0	[126238.336  82411.445 181179.75 ]	108280250000000.0
1340.0	1.0	[140113.34 165016.62 176200.19]	125426610000000.0
936.0	1.0	[ 87651.59   17531.775 105784.84 ]	106752690000000.0
999.0	1.0	[181650.44 184364.61 166356.1 ]	106751430000000.0
294.0	0.0	[197412.58   15259.91   65332.184]	108786650000000.0
262.0	1.0	[ 52465.844 188204.56   87042.88 ]	100631760000000.0
623.0	0.0	[ 24267.826 180194.81  127005.49 ]	100990430000000.0
346.0	1.0	[ 23848.797 122544.41   10031.633]	102281830000000.0
365.0	1.0	[164294.02  122960.61   43490.508]	106644210000000.0
299.0	1.0	[11240.206 46192.625 90412.64 ]	116380150000000.0
663.0	1.0	[ 26621.203 181354.81   38638.793]	108471880000000.0
652.0	1.0	[108717.74 102678.15 136450.5 ]	107388270000000.0
216.0	1.0	[109732.73   48451.625 176730.1  ]	104113520000000.0
128.0	1.0	[ 54304.855 203339.14  136843.98 ]	101111640000000.0
486.0	1.0	[192142.64  196398.19   48864.586]	114998090000000.0
239.0	1.0	[133438.73 159286.23 122156.82]	105406020000000.0
626.0	1.0	[87806.336 73957.55  86527.28 ]	104674970000000.0
728.0	1.0	[154388.94 125282.05  53416.65]	105982210000000.0
4640.0	1.0	[62369.625 23841.715 22513.576]	101777600000000.0
